,Titre,Description,URL,Vrai_ou_Faux,Date_Publication,Date_Maj,Auteurs,Site
1149,Attention à cette lettre anti-Macron faussement attribuée à Gérard Lanvin,Une lettre coup de gueule faussement attribuée à Gérard Lanvin sous le quinquennat de François Hollande ressurgit aujourd’hui contre Emmanuel Macron…,https://www.20minutes.fr/politique/2391891-20181210-attention-lettre-anti-macron-faussement-attribuee-gerard-lanvin,Faux,le 10/12/18 à 13h10,le 10/12/18 à 13h10,Alexis Orsini,20minutes
1150,"Le drapeau breton, «un drapeau américain avec des bombes à la place des étoiles»?","« Je vois que ce drapeau est brandi par beaucoup de manifestants parisiens, il est supposé être le drapeau américain avec des bombes au lieu d’étoiles », a tweeté samedi Partisangirl, une Youtubeuse américaine…",https://www.20minutes.fr/high-tech/2391195-20181209-drapeau-breton-drapeau-americain-bombes-place-etoiles,,le 09/12/18 à 16h52,le 10/12/18 à 16h50,H. B.,20minutes
1151,"«Pacte de Marrakech» sur les migrations, soutien des CRS aux «gilets jaunes»... Attention aux intox de la semaine",Soyez forts contre les fausses nouvelles...,https://www.20minutes.fr/high-tech/2390279-20181208-pacte-marrakech-migrations-soutien-crs-gilets-jaunes-attention-intox-semaine,Faux,le 08/12/18 à 11h35,le 08/12/18 à 11h35,Mathilde Cousin,20minutes
1152,"Fact-checking: Non, cette photo ne montre pas une femme se rendant aux Restos du cœur",Une intox née en Allemagne a franchi les frontières...,https://www.20minutes.fr/societe/2389767-20181207-fact-checking-non-photo-montre-femme-rendant-restos-ur,Faux,le 07/12/18 à 18h07,le 07/12/18 à 18h11,Mathilde Cousin,20minutes
1153,L’armée française mobilisée contre les «gilets jaunes»? C'est faux,Des internautes s'inquiètent (à tort) d'un déploiement de l'armée contre les « gilets jaunes » le 8 décembre... ,https://www.20minutes.fr/societe/2390179-20181207-armee-francaise-mobilisee-contre-gilets-jaunes-faux,Faux,le 07/12/18 à 17h11,le 07/12/18 à 17h11,Alexis Orsini,20minutes
1154,"Non, un site sur les «gilets jaunes» n’a pas été créé juste après l’élection de Macron","Des soutiens d'Emmanuel Macron se sont alarmés de la création du site «giletsjaunes.com» juste après l'élection du président de la République, alors qu'il existait dès 2015... ",https://www.20minutes.fr/high-tech/2389435-20181207-non-site-gilets-jaunes-cree-juste-apres-election-macron,Faux,le 07/12/18 à 08h05,le 07/12/18 à 09h39,Alexis Orsini,20minutes
1155,"Non, la police n'a pas «évoqué la possibilité d'avoir à abattre des manifestants samedi»","Le 3 décembre, Yves Lefebvre, secrétaire général d’un syndicat des gardiens de la paix, a exprimé des craintes pour la prochaine manifestation du 8 décembre. Ses propos ont été sortis de leur contexte par plusieurs blogs…",https://www.20minutes.fr/societe/2388987-20181206-non-police-evoque-possibilite-avoir-abattre-manifestants-samedi,Faux,le 06/12/18 à 17h26,le 06/12/18 à 17h26,M.Co.,20minutes
1156,"VIDEO. «Gilets jaunes»: Comment vérifier par vous-même une image, une photo ou un site?",De nombreuses images ou vidéos sont sorties de leur contexte sur les réseaux sociaux pour illustrer le mouvement des « gilets jaunes ». « 20 Minutes » vous conseille quelques méthodes pour effectuer vos propres vérifications…,https://www.20minutes.fr/high-tech/2388271-20181206-video-gilets-jaunes-comment-verifier-image-photo-site,,le 06/12/18 à 09h05,le 06/12/18 à 10h28,Mathilde Cousin,20minutes
1157,"VIDEO. Hausse du Smic, gel des tarifs régulés et ISF… Le vrai du faux des annonces du gouvernement pour apaiser les «gilets jaunes»",L’exécutif s’est livré à quelques contorsions pour mettre ses mesures en avant…,https://www.20minutes.fr/economie/2388315-20181205-video-hausse-smic-gel-tarifs-regules-isf-vrai-faux-annonces-gouvernement-apaiser-gilets-jaunes,Faux,le 05/12/18 à 18h07,le 06/12/18 à 13h59,Nicolas Raffin,20minutes
1158,Des forces de l'ordre ont-elles retiré leur casque pour soutenir les «gilets jaunes»?,Plusieurs vidéos montrant des forces de l'ordre retirer leur casque devant des « gilets jaunes » affirment à tort que ce geste vise à soutenir les manifestants...,https://www.20minutes.fr/societe/2388375-20181205-forces-ordre-elles-retire-casque-soutenir-gilets-jaunes,,le 05/12/18 à 17h19,le 06/12/18 à 09h38,Alexis Orsini,20minutes
